call_type,call_type_clean,call_type_group
Disorderly Conduct,disorderly conduct,Trespass / Disorderly Conduct
Trespass,trespass,Trespass / Disorderly Conduct
TRESPASSING,trespassing,Trespass / Disorderly Conduct
Trespassing,trespassing,Trespass / Disorderly Conduct
Tresspassing,trespassing,Trespass / Disorderly Conduct
DOC/Welfare Check/Theft,doc / welfare check / theft,Welfare Check
PERSON TO BE REMOVED/WELFARE CHECK,person to be removed / welfare check,Welfare Check
Person to be Removed/Welfare Check,person to be removed / welfare check,Welfare Check
Suspicious Activity / Welfare Check,suspicious activity / welfare check,Welfare Check
TRESPASS/WELFARE CHECK,trespass / welfare check,Welfare Check
WELFARE CHECK,welfare check,Welfare Check
Welfare Check,welfare check,Welfare Check
Welfare Check MH,welfare check mh,Welfare Check
